employee_id,hire_date,work_satisfaction,life_satisfaction,work_life_balance
E0001,2016-07-30,4.37,5,4.32
E0002,2018-01-15,4.81,4.66,3.85
E0003,2018-09-06,3.54,3.11,4.84
E0004,2019-06-19,3.4,4.77,4.16
E0005,2019-07-19,4.44,3.26,3.65
E0006,2022-04-24,3.24,3.96,4.44
E0007,2017-06-11,4.96,4.44,4.67
E0008,2018-02-26,4.29,3.87,3.95
E0009,2022-04-04,3.14,3.91,2.13
E0010,2017-01-04,4.18,4.08,5
E0011,2018-02-15,4.05,4.26,3.47
E0012,2020-11-02,2.77,4.25,3.76
E0013,2019-06-09,3.98,2.96,5
E0014,2017-08-23,3.71,3.89,2.67
E0015,2019-05-10,3.56,4.17,3.23
E0016,2019-01-18,4.12,4.35,3.48
E0017,2019-12-26,4.43,3.81,3.08
E0018,2020-03-13,4.86,3.58,4.77
E0019,2020-10-04,2.68,3.18,4.89
E0020,2016-03-19,4.37,3.56,4.35
E0021,2018-06-21,3.52,3.93,3.69
E0022,2019-10-03,4.58,3.62,3.7
E0023,2021-06-02,4.17,4.36,3.6
E0024,2020-08-08,4.72,4.22,3.63
E0025,2017-06-20,3.26,3.03,4.34
E0026,2016-01-18,4.25,4.19,4.64
E0027,2018-09-19,4.15,4.33,3.68
E0028,2017-01-05,4.52,3.84,4.22
E0029,2020-07-20,3.88,3.98,2.33
E0030,2016-10-01,4.57,3.74,4.05
E0031,2016-06-12,3.78,3.82,3.39
E0032,2020-07-09,3.79,3.4,4.77
E0033,2020-05-25,4.01,4.26,4.83
E0034,2021-09-11,3.47,3.27,2.46
E0035,2020-11-10,3.77,3.65,4.65
E0036,2021-07-16,4.56,3.45,3.6
E0037,2016-09-25,4.83,3.48,3.89
E0038,2021-11-16,4.56,3.78,4.63
E0039,2016-02-01,3.79,3.71,4.48
E0040,2018-02-10,4.16,3.58,3.43
E0041,2017-12-29,4.05,3.85,4.22
E0042,2016-08-27,3.37,3.05,3.67
E0043,2021-07-03,4.13,4.07,4.88
E0044,2019-08-23,3.59,4.38,2.9
E0045,2019-09-17,3.47,3.23,4.57
E0046,2019-07-01,4.36,3.15,4.97
E0047,2017-01-02,3.65,5,2.17
E0048,2017-01-06,3.93,4.14,4.45
E0049,2020-11-28,3.51,4.03,3.75
E0050,2021-02-05,4.03,3.88,4.08
E0051,2019-09-05,4.25,4.3,3.81
E0052,2017-06-26,4.25,4.02,4.48
E0053,2018-12-18,3.46,3.67,4.65
E0054,2017-11-16,4.63,3.74,4.42
E0055,2018-01-30,4.75,3.79,3.93
E0056,2019-03-13,4.19,3.81,3.7
E0057,2016-08-09,4.08,3.55,3.9
E0058,2016-10-21,4.04,4.64,3.84
E0059,2017-09-27,4.13,4.06,4.14
E0060,2017-09-03,4.19,3.54,3.42
E0061,2017-08-08,4.07,4.35,4.41
E0062,2018-01-02,4.33,4.21,3.3
E0063,2020-06-23,3.83,3.92,2.96
E0064,2022-06-01,4.56,4.24,4.18
E0065,2016-11-26,3.98,3.46,4.29
E0066,2019-03-09,3.12,3.88,4.72
E0067,2022-06-16,3.95,3.4,4.51
E0068,2020-04-13,4.22,3.29,4.15
E0069,2019-05-03,4.62,3.8,4.48
E0070,2018-10-22,4.03,4.1,3.31
E0071,2020-10-01,3.03,3.45,3.2
E0072,2018-01-04,4,3.89,3.15
E0073,2021-07-10,3.4,2.9,4.03
E0074,2020-09-11,3.51,3.73,4.46
E0075,2021-01-14,3.49,4.7,4.63
E0076,2019-06-25,3.6,3.31,5
E0077,2017-08-05,4.57,3.28,4.23
E0078,2021-11-07,3.58,3.87,3.91
E0079,2020-09-20,3.78,4.32,3.54
E0080,2017-05-20,4.09,4.74,4.18
E0081,2020-09-09,4.45,5,3.95
E0082,2022-04-08,3.67,4.48,3.77
E0083,2016-09-28,3.59,4.4,3.53
E0084,2017-02-11,3.74,5,3.3
E0085,2021-04-04,3.41,3.82,3.31
E0086,2022-09-03,4.46,3.87,5
E0087,2017-12-07,2.91,4.15,4.18
E0088,2021-02-04,3.74,3.15,3.7
E0089,2016-05-02,3.28,2.9,2.89
E0090,2020-08-06,3.02,5,4.14
E0091,2021-09-12,4.01,3.66,3.65
E0092,2022-11-09,4.77,3.73,3.94
E0093,2020-09-29,4.82,3.4,3.85
E0094,2020-12-19,3.72,4.09,4.54
