employee_id,exit_date,reason
E001,2023-01-05,Other
E002,2023-01-20,New Job
E003,2023-02-04,New Job
E004,2023-02-19,Other
E005,2023-03-06,New Job
E006,2023-03-21,Other
E007,2023-04-05,Retirement
E008,2023-04-20,Retirement
E009,2023-05-05,Retirement
E010,2023-05-20,New Job
E011,2023-06-04,New Job
E012,2023-06-19,New Job
E013,2023-07-04,New Job
E014,2023-07-19,Retirement
E015,2023-08-03,New Job
E016,2023-08-18,Other
E017,2023-09-02,Other
E018,2023-09-17,New Job
E019,2023-10-02,New Job
E020,2023-10-17,Other
E021,2023-11-01,New Job
E022,2023-11-16,Other
E023,2023-12-01,Retirement
E024,2023-12-16,New Job
E025,2023-12-31,New Job
E026,2024-01-15,New Job
E027,2024-01-30,Retirement
E028,2024-02-14,New Job
E029,2024-02-29,New Job
E030,2024-03-15,New Job
E031,2024-03-30,Other
E032,2024-04-14,Retirement
E033,2024-04-29,New Job
E034,2024-05-14,Retirement
E035,2024-05-29,New Job
E036,2024-06-13,Retirement
E037,2024-06-28,New Job
E038,2024-07-13,Retirement
E039,2024-07-28,Retirement
E040,2024-08-12,Retirement
E041,2024-08-27,New Job
E042,2024-09-11,New Job
E043,2024-09-26,New Job
E044,2024-10-11,New Job
E045,2024-10-26,Retirement
E046,2024-11-10,New Job
E047,2024-11-25,New Job
E048,2024-12-10,Retirement
E049,2024-12-25,New Job
E050,2025-01-09,Retirement
